         time;          counts;events
105.201182595;        22031169;cache-misses                                                
105.201182595;         2096678;dTLB-loads-misses                                           
105.201182595;            1539;page-faults                                                 
106.202684400;        25539216;cache-misses                                                
106.202684400;         2260435;dTLB-loads-misses                                           
106.202684400;            5911;page-faults                                                 
107.203714310;        23634366;cache-misses                                                
107.203714310;         2183690;dTLB-loads-misses                                           
107.203714310;            1545;page-faults                                                 
108.205224163;        22464514;cache-misses                                                
108.205224163;         2138359;dTLB-loads-misses                                           
108.205224163;            1712;page-faults                                                 
109.206808550;        23447672;cache-misses                                                
109.206808550;         2229873;dTLB-loads-misses                                           
109.206808550;            1880;page-faults                                                 
110.207713216;        23113265;cache-misses                                                
110.207713216;         2172043;dTLB-loads-misses                                           
110.207713216;            1998;page-faults                                                 
111.209167500;        22899656;cache-misses                                                
111.209167500;         2146968;dTLB-loads-misses                                           
111.209167500;            1592;page-faults                                                 
112.210619781;        22633557;cache-misses                                                
112.210619781;         2109653;dTLB-loads-misses                                           
112.210619781;            1625;page-faults                                                 
113.211721213;        25434238;cache-misses                                                
113.211721213;         2269116;dTLB-loads-misses                                           
113.211721213;            3955;page-faults                                                 
114.213247430;        22960840;cache-misses                                                
114.213247430;         2122489;dTLB-loads-misses                                           
114.213247430;            1556;page-faults                                                 
115.214176023;        24264974;cache-misses                                                
115.214176023;         2254800;dTLB-loads-misses                                           
115.214176023;            3184;page-faults                                                 
116.215671324;        30050344;cache-misses                                                
116.215671324;         2570489;dTLB-loads-misses                                           
116.215671324;            2141;page-faults                                                 
117.297514355;        34880588;cache-misses                                                
117.297514355;         2750727;dTLB-loads-misses                                           
117.297514355;            7484;page-faults                                                 
118.298903474;        23398963;cache-misses                                                
118.298903474;         2139625;dTLB-loads-misses                                           
118.298903474;            2117;page-faults                                                 
119.299717136;        22331608;cache-misses                                                
119.299717136;         2092426;dTLB-loads-misses                                           
119.299717136;            1608;page-faults                                                 
120.301211851;        24610014;cache-misses                                                
120.301211851;         2267304;dTLB-loads-misses                                           
120.301211851;            3599;page-faults                                                 
121.302687254;        22460286;cache-misses                                                
121.302687254;         2107310;dTLB-loads-misses                                           
121.302687254;            1566;page-faults                                                 
122.303693008;        22111419;cache-misses                                                
122.303693008;         2127174;dTLB-loads-misses                                           
122.303693008;            1588;page-faults                                                 
123.305437546;        25145194;cache-misses                                                
123.305437546;         2229452;dTLB-loads-misses                                           
123.305437546;            4911;page-faults                                                 
124.306842983;        23270787;cache-misses                                                
124.306842983;         2178464;dTLB-loads-misses                                           
124.306842983;            1974;page-faults                                                 
125.307726170;        24081313;cache-misses                                                
125.307726170;         2259268;dTLB-loads-misses                                           
125.307726170;            4006;page-faults                                                 
126.309362895;        37370492;cache-misses                                                
126.309362895;         2807749;dTLB-loads-misses                                           
126.309362895;           20397;page-faults                                                 
127.310098645;        23922859;cache-misses                                                
127.310098645;         2211740;dTLB-loads-misses                                           
127.310098645;            3137;page-faults                                                 
128.311692204;        22528686;cache-misses                                                
128.311692204;         2161871;dTLB-loads-misses                                           
128.311692204;            1724;page-faults                                                 
129.313199764;        22997641;cache-misses                                                
129.313199764;         2183172;dTLB-loads-misses                                           
129.313199764;            1944;page-faults                                                 
130.314767405;        23832155;cache-misses                                                
130.314767405;         2232998;dTLB-loads-misses                                           
130.314767405;            3476;page-faults                                                 
131.315664853;        23730784;cache-misses                                                
131.315664853;         2207783;dTLB-loads-misses                                           
131.315664853;            1715;page-faults                                                 
132.316197583;        22496699;cache-misses                                                
132.316197583;         2127365;dTLB-loads-misses                                           
132.316197583;            1557;page-faults                                                 
133.317701914;        22674163;cache-misses                                                
133.317701914;         2154197;dTLB-loads-misses                                           
133.317701914;            1682;page-faults                                                 
134.319140415;        24239327;cache-misses                                                
134.319140415;         2192813;dTLB-loads-misses                                           
134.319140415;            2308;page-faults                                                 
135.319716721;        22510019;cache-misses                                                
135.319716721;         2100319;dTLB-loads-misses                                           
135.319716721;            1681;page-faults                                                 
136.321217012;        23226326;cache-misses                                                
136.321217012;         2129719;dTLB-loads-misses                                           
136.321217012;            2204;page-faults                                                 
137.322692846;        24843055;cache-misses                                                
137.322692846;         2268852;dTLB-loads-misses                                           
137.322692846;            3816;page-faults                                                 
138.323675734;        22642062;cache-misses                                                
138.323675734;         2131880;dTLB-loads-misses                                           
138.323675734;            1702;page-faults                                                 
139.325205081;        23206846;cache-misses                                                
139.325205081;         2164913;dTLB-loads-misses                                           
139.325205081;            1669;page-faults                                                 
140.326724178;        22130726;cache-misses                                                
140.326724178;         2126834;dTLB-loads-misses                                           
140.326724178;            1575;page-faults                                                 
141.327705915;        22988454;cache-misses                                                
141.327705915;         2150983;dTLB-loads-misses                                           
141.327705915;            1980;page-faults                                                 
142.329176849;        21875621;cache-misses                                                
142.329176849;         2112033;dTLB-loads-misses                                           
142.329176849;            1559;page-faults                                                 
143.330688885;        23344635;cache-misses                                                
143.330688885;         2189120;dTLB-loads-misses                                           
143.330688885;            1725;page-faults                                                 
144.331707365;        22276260;cache-misses                                                
144.331707365;         2129849;dTLB-loads-misses                                           
144.331707365;            1600;page-faults                                                 
145.333299473;        22094554;cache-misses                                                
145.333299473;         2135223;dTLB-loads-misses                                           
145.333299473;            1538;page-faults                                                 
146.334861949;        23214821;cache-misses                                                
146.334861949;         2159484;dTLB-loads-misses                                           
146.334861949;            1680;page-faults                                                 
147.335670024;        25095031;cache-misses                                                
147.335670024;         2295860;dTLB-loads-misses                                           
147.335670024;            3968;page-faults                                                 
148.337189939;        23335110;cache-misses                                                
148.337189939;         2185730;dTLB-loads-misses                                           
148.337189939;            1761;page-faults                                                 
149.338808143;        24112198;cache-misses                                                
149.338808143;         2247654;dTLB-loads-misses                                           
149.338808143;            3412;page-faults                                                 
150.339669329;        23558953;cache-misses                                                
150.339669329;         2166275;dTLB-loads-misses                                           
150.339669329;            1536;page-faults                                                 
151.341226557;        22728298;cache-misses                                                
151.341226557;         2118313;dTLB-loads-misses                                           
151.341226557;            1558;page-faults                                                 
152.342682636;        22526876;cache-misses                                                
152.342682636;         2148354;dTLB-loads-misses                                           
152.342682636;            1548;page-faults                                                 
153.343714228;        22826497;cache-misses                                                
153.343714228;         2121953;dTLB-loads-misses                                           
153.343714228;            2101;page-faults                                                 
154.345340650;        21993979;cache-misses                                                
154.345340650;         2078238;dTLB-loads-misses                                           
154.345340650;            1507;page-faults                                                 
155.346880135;        24502663;cache-misses                                                
155.346880135;         2268482;dTLB-loads-misses                                           
155.346880135;            3794;page-faults                                                 
156.347664207;        23293919;cache-misses                                                
156.347664207;         2219434;dTLB-loads-misses                                           
156.347664207;            1989;page-faults                                                 
157.349176117;        23193307;cache-misses                                                
157.349176117;         2147535;dTLB-loads-misses                                           
157.349176117;            1740;page-faults                                                 
158.350707795;        23925473;cache-misses                                                
158.350707795;         2186168;dTLB-loads-misses                                           
158.350707795;            2846;page-faults                                                 
159.351669100;        29616639;cache-misses                                                
159.351669100;         2464519;dTLB-loads-misses                                           
159.351669100;            3643;page-faults                                                 
160.353103038;        21713316;cache-misses                                                
160.353103038;         2101783;dTLB-loads-misses                                           
160.353103038;            1525;page-faults                                                 
161.354599995;        23489435;cache-misses                                                
161.354599995;         2176367;dTLB-loads-misses                                           
161.354599995;            2324;page-faults                                                 
162.355667957;        22785937;cache-misses                                                
162.355667957;         2129358;dTLB-loads-misses                                           
162.355667957;            2286;page-faults                                                 
163.357129934;        22433883;cache-misses                                                
163.357129934;         2095935;dTLB-loads-misses                                           
163.357129934;            1667;page-faults                                                 
164.358732511;        22298959;cache-misses                                                
164.358732511;         2114093;dTLB-loads-misses                                           
164.358732511;            1531;page-faults                                                 
165.359714086;        22015622;cache-misses                                                
165.359714086;         2122186;dTLB-loads-misses                                           
165.359714086;            1790;page-faults                                                 
166.361111836;        25604827;cache-misses                                                
166.361111836;         2303417;dTLB-loads-misses                                           
166.361111836;            4061;page-faults                                                 
167.362342616;        23622121;cache-misses                                                
167.362342616;         2164305;dTLB-loads-misses                                           
167.362342616;            1643;page-faults                                                 
168.363713045;        26341842;cache-misses                                                
168.363713045;         2345199;dTLB-loads-misses                                           
168.363713045;            2726;page-faults                                                 
169.365146614;        56283380;cache-misses                                                
169.365146614;         3441812;dTLB-loads-misses                                           
169.365146614;           15844;page-faults                                                 
170.367724677;        17261954;cache-misses                                                
170.367724677;         2000286;dTLB-loads-misses                                           
170.367724677;            4226;page-faults                                                 
171.369344119;        10359493;cache-misses                                                
171.369344119;         1547581;dTLB-loads-misses                                           
171.369344119;            1515;page-faults                                                 
172.370812149;        35469171;cache-misses                                                
172.370812149;         2388703;dTLB-loads-misses                                           
172.370812149;           12783;page-faults                                                 
173.371708856;        38842271;cache-misses                                                
173.371708856;         2623602;dTLB-loads-misses                                           
173.371708856;           13495;page-faults                                                 
174.373214293;        35022142;cache-misses                                                
174.373214293;         2618355;dTLB-loads-misses                                           
174.373214293;            8449;page-faults                                                 
175.374694825;        13134926;cache-misses                                                
175.374694825;         1605456;dTLB-loads-misses                                           
175.374694825;           10333;page-faults                                                 
176.377009948;        32333052;cache-misses                                                
176.377009948;         2573692;dTLB-loads-misses                                           
176.377009948;           11435;page-faults                                                 
177.378528576;        26195749;cache-misses                                                
177.378528576;         2369026;dTLB-loads-misses                                           
177.378528576;            9103;page-faults                                                 
178.379676275;        31333859;cache-misses                                                
178.379676275;         2619604;dTLB-loads-misses                                           
178.379676275;           22312;page-faults                                                 
179.381164981;        34039087;cache-misses                                                
179.381164981;         3124558;dTLB-loads-misses                                           
179.381164981;            9402;page-faults                                                 
180.382735029;        40091990;cache-misses                                                
180.382735029;         3177961;dTLB-loads-misses                                           
180.382735029;            8201;page-faults                                                 
181.383701964;        28089011;cache-misses                                                
181.383701964;         2374873;dTLB-loads-misses                                           
181.383701964;            5688;page-faults                                                 
182.385303040;        22824983;cache-misses                                                
182.385303040;         2470265;dTLB-loads-misses                                           
182.385303040;            9205;page-faults                                                 
183.386788482;        18753693;cache-misses                                                
183.386788482;         2363366;dTLB-loads-misses                                           
183.386788482;            3928;page-faults                                                 
184.387712806;        18065031;cache-misses                                                
184.387712806;         2015717;dTLB-loads-misses                                           
184.387712806;            5626;page-faults                                                 
185.389230145;        36537904;cache-misses                                                
185.389230145;         2899279;dTLB-loads-misses                                           
185.389230145;            7719;page-faults                                                 
186.390767795;        26036265;cache-misses                                                
186.390767795;         2908795;dTLB-loads-misses                                           
186.390767795;           15276;page-faults                                                 
187.391715942;        21073958;cache-misses                                                
187.391715942;         2075615;dTLB-loads-misses                                           
187.391715942;           15842;page-faults                                                 
188.393213881;        14143368;cache-misses                                                
188.393213881;         1710259;dTLB-loads-misses                                           
188.393213881;            5086;page-faults                                                 
189.394747726;         7615411;cache-misses                                                
189.394747726;         1357947;dTLB-loads-misses                                           
189.394747726;            3096;page-faults                                                 
190.395665614;         9995331;cache-misses                                                
190.395665614;         1497613;dTLB-loads-misses                                           
190.395665614;           12805;page-faults                                                 
191.397084808;        30032022;cache-misses                                                
191.397084808;         2543181;dTLB-loads-misses                                           
191.397084808;            7193;page-faults                                                 
192.398635781;        29612906;cache-misses                                                
192.398635781;         2252879;dTLB-loads-misses                                           
192.398635781;            8896;page-faults                                                 
193.399660143;        16002178;cache-misses                                                
193.399660143;         1866574;dTLB-loads-misses                                           
193.399660143;            8216;page-faults                                                 
194.401083586;         8705472;cache-misses                                                
194.401083586;         1418032;dTLB-loads-misses                                           
194.401083586;            3085;page-faults                                                 
195.402551344;         8307199;cache-misses                                                
195.402551344;         1394332;dTLB-loads-misses                                           
195.402551344;            3019;page-faults                                                 
196.403667727;         7407379;cache-misses                                                
196.403667727;         1348271;dTLB-loads-misses                                           
196.403667727;            2714;page-faults                                                 
197.405245229;         9004446;cache-misses                                                
197.405245229;         1448386;dTLB-loads-misses                                           
197.405245229;            3331;page-faults                                                 
198.406226916;        14814467;cache-misses                                                
198.406226916;         1561368;dTLB-loads-misses                                           
198.406226916;            9309;page-faults                                                 
199.407656460;         7200672;cache-misses                                                
199.407656460;         1346354;dTLB-loads-misses                                           
199.407656460;            3258;page-faults                                                 
200.409113937;         7539307;cache-misses                                                
200.409113937;         1330844;dTLB-loads-misses                                           
200.409113937;            2786;page-faults                                                 
201.409756908;        16043015;cache-misses                                                
